,Furnished_Type,Tenants_Preferred,Sqft,Property_type,BHK,Location,Floor,Area_type,Facing,Balcony,Overlooking,Availability,Bathroom,Monthly_Charges,car_parking
242,Unfurnished,Bachelors,850,Apartment,2,Green Park Colony,2,Carpet Area,East,1,Main Road,Immediately,2,9500.0,0
243,Unfurnished,Family,1150,Apartment,2,Narsingi,1,Carpet Area,East,2,Garden/Park,Immediately,2,20000.0,0
244,Semi-Furnished,Family,1400,Apartment,2,Gandhi Nagar,5,Super Area,South,4,Unknown,Immediately,2,20000.0,5
245,Unfurnished,Family,1300,House,2,Trimulgherry,0,Carpet Area,East,0,Unknown,Immediately,2,14000.0,1
246,Semi-Furnished,Bachelors/Family,847,Apartment,2,Chanda Nagar,5,Super Area,Unknown,1,Unknown,Immediately,2,13500.0,0
247,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Safilguda,2,Super Area,Unknown,0,Unknown,Immediately,2,9000.0,0
248,Semi-Furnished,Bachelors/Family,800,Apartment,2,Tarnaka,1,Carpet Area,North,0,Unknown,Immediately,2,12000.0,1
249,Semi-Furnished,Family,1450,Apartment,3,Kukatpally,10,Carpet Area,West,0,Pool,Immediately,3,45000.0,1
250,Semi-Furnished,Bachelors/Family,1800,Villa,4,International Airport,0,Super Area,East,1,Unknown,Immediately,2,15000.0,2
251,Unfurnished,Family,900,Penthouse,1,Trimulgherry,2,Carpet Area,Unknown,0,Unknown,Immediately,1,8500.0,0
252,Unfurnished,Bachelors/Family,1000,Apartment,2,Gajularamaram,1,Carpet Area,East,1,Main Road,Immediately,2,11000.0,0
253,Semi-Furnished,Bachelors/Family,2045,Apartment,3,Gachibowli,11,Super Area,Unknown,0,Unknown,Immediately,3,45000.0,0
254,Unfurnished,Family,900,Apartment,3,Bongloor,3,Carpet Area,West,1,Unknown,Immediately,3,9000.0,1
255,Semi-Furnished,Bachelors,1850,Apartment,3,Silpa Park,0,Carpet Area,East,1,Garden/Park,Immediately,3,30000.0,1
256,Unfurnished,Bachelors/Family,850,Apartment,2,Financial District,14,Carpet Area,East,1,Garden/Park,Immediately,2,30000.0,1
257,Semi-Furnished,Family,1660,Apartment,3,Kondapur,3,Super Area,North-West,0,Unknown,Immediately,3,26000.0,1
258,Unfurnished,Bachelors,700,House,1,Chengicherla,2,Carpet Area,North-East,1,Garden/Park,Immediately,1,6000.0,0
259,Semi-Furnished,Bachelors/Family,1300,House,3,Bandlaguda,2,Carpet Area,North-West,1,Main Road,Immediately,3,22000.0,1
260,Unfurnished,Bachelors,1500,Apartment,2,Tellapur,1,Carpet Area,East,2,Unknown,Immediately,1,10000.0,0
261,Semi-Furnished,Family,928,Apartment,2,Rajendra Nagar,8,Super Area,East,0,Garden/Park,Immediately,2,18000.0,1
262,Semi-Furnished,Family,2500,Apartment,3,Manikonda,9,Super Area,East,0,Unknown,From Mar '22,3,42000.0,2
263,Semi-Furnished,Family,1700,Apartment,3,Sanath Nagar,5,Super Area,East,1,Garden/Park,Immediately,3,35000.0,2
264,Semi-Furnished,Family,1600,Apartment,3,Golden Tulip Estate,2,Carpet Area,North,2,Unknown,Immediately,3,35000.0,2
265,Semi-Furnished,Bachelors,1650,Apartment,3,Symphony residency,3,Super Area,West,2,Unknown,Immediately,3,16000.0,0
266,Unfurnished,Family,1198,Apartment,3,Kundanbagh,0,Carpet Area,East,0,Main Road,Immediately,2,19000.0,1
267,Semi-Furnished,Bachelors,1140,Apartment,2,Bandlaguda Jagir,2,Super Area,Unknown,2,Garden/Park,Immediately,2,14000.0,0
268,Semi-Furnished,Family,1850,Apartment,3,Kukatpally,2,Carpet Area,North,3,Garden/Park,Immediately,4,28000.0,1
269,Furnished,Bachelors/Family,1000,Apartment,2,Kondapur,3,Carpet Area,North-East,2,Unknown,Immediately,2,19000.0,0
270,Unfurnished,Family,900,Apartment,2,East Marredpally,2,Super Area,East,1,Unknown,Immediately,2,17000.0,1
271,Furnished,Family,1200,Apartment,2,Alkapur Township,1,Carpet Area,Unknown,2,Unknown,Immediately,2,17000.0,1
272,Semi-Furnished,Bachelors,1100,Apartment,3,sai nagar colony,5,Carpet Area,Unknown,1,Main Road,Immediately,2,14000.0,0
273,Unfurnished,Family,1045,Apartment,3,Rajendra Nagar,2,Carpet Area,East,1,Garden/Park,Immediately,2,18000.0,1
274,Unfurnished,Bachelors/Family,500,Apartment,1,Pragathi Nagar,1,Carpet Area,East,0,Unknown,Immediately,1,7500.0,0
275,Furnished,Bachelors/Family,1545,House,3,Gachibowli,6,Carpet Area,East,1,Garden/Park,Immediately,3,35000.0,2
276,Semi-Furnished,Bachelors,1100,Apartment,2,Deepthisri Nagar,1,Carpet Area,East,2,Garden/Park,From Mar '22,2,14000.0,0
277,Unfurnished,Bachelors/Family,800,House,2,Mallapur-Balapur,0,Carpet Area,East,2,Unknown,Immediately,2,7000.0,1
278,Unfurnished,Bachelors/Family,1100,Apartment,2,Gangaram,2,Carpet Area,East,1,Main Road,Immediately,2,12000.0,1
279,Unfurnished,Bachelors,1800,House,2,Friends Colony,1,Carpet Area,West,2,Main Road,Immediately,2,22000.0,0
280,Unfurnished,Family,850,House,2,Trimulgherry,0,Carpet Area,East,0,Main Road,Immediately,2,10000.0,2
281,Semi-Furnished,Bachelors/Family,1350,Apartment,2,Kondapur,2,Carpet Area,West,2,Main Road,Immediately,2,25000.0,0
282,Semi-Furnished,Bachelors/Family,3000,Villa,3,Gayatri Hills,0,Carpet Area,Unknown,1,Garden/Park,Immediately,3,50000.0,0
283,Semi-Furnished,Bachelors/Family,2010,Apartment,3,Jubilee Hills,1,Carpet Area,East,2,Main Road,Immediately,3,55000.0,2
284,Unfurnished,Bachelors,900,Apartment,2,Bowenpally,3,Carpet Area,East,1,Main Road,Immediately,2,11000.0,0
285,Unfurnished,Bachelors/Family,850,Apartment,2,IAS Colony,1,Carpet Area,Unknown,1,Unknown,Immediately,2,14000.0,0
286,Furnished,Bachelors,2100,Apartment,3,Madhapur,4,Carpet Area,East,2,Main Road,Immediately,3,45000.0,1
287,Semi-Furnished,Family,1300,Apartment,3,Hyder Nagar,1,Carpet Area,East,2,Main Road,Immediately,3,22000.0,1
288,Unfurnished,Bachelors/Family,1454,Apartment,3,Appa junction,11,Carpet Area,East,1,Garden/Park,Immediately,3,28500.0,0
289,Semi-Furnished,Bachelors/Family,950,Apartment,2,Kondapur,4,Carpet Area,North-East,2,Main Road,Immediately,2,18000.0,1
290,Semi-Furnished,Bachelors,2455,Apartment,3,Jubilee Hills,1,Carpet Area,East,2,Main Road,Immediately,3,55000.0,0
291,Furnished,Family,1650,Apartment,3,Ayyappa Society,2,Carpet Area,Unknown,3,Main Road,Immediately,3,30000.0,1
292,Unfurnished,Bachelors/Family,1200,House,2,Kapra,1,Carpet Area,East,1,Unknown,Immediately,2,8200.0,1
293,Semi-Furnished,Bachelors,2100,Villa,3,Puppalaguda,0,Carpet Area,West,2,Main Road,Immediately,4,32000.0,0
294,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Puppalaguda,2,Carpet Area,East,1,Main Road,Immediately,2,16000.0,1
295,Unfurnished,Bachelors,874,Apartment,2,Shaikpet,1,Carpet Area,South,1,Main Road,Immediately,2,12500.0,0
296,Unfurnished,Bachelors,700,House,2,Fathenagar,1,Carpet Area,East,1,Main Road,Immediately,2,8500.0,1
297,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Pragathi Nagar,0,Carpet Area,East,2,Main Road,Immediately,2,12500.0,1
298,Unfurnished,Family,800,House,2,Snehapuri Colony,0,Carpet Area,South,0,Unknown,Immediately,1,9000.0,1
299,Semi-Furnished,Family,1500,Apartment,3,Kokapet,4,Carpet Area,West,3,Garden/Park,Immediately,3,22000.0,2
300,Unfurnished,Bachelors,750,Apartment,2,Indira Nagar-Ramanthpur,1,Carpet Area,East,2,Unknown,Immediately,2,11000.0,0
301,Semi-Furnished,Bachelors/Family,1500,Apartment,3,Moti Nagar,3,Carpet Area,East,1,Main Road,Immediately,2,19500.0,1
302,Semi-Furnished,Bachelors/Family,1800,Apartment,4,Chandanagar,3,Carpet Area,South-East,2,Garden/Park,Immediately,2,20000.0,1
303,Semi-Furnished,Family,1500,House,3,Alkapur Township,1,Carpet Area,North,1,Garden/Park,Immediately,3,25000.0,4
304,Semi-Furnished,Bachelors,800,House,2,Gayathri Nagar,1,Carpet Area,Unknown,1,Main Road,Immediately,2,15000.0,0
305,Semi-Furnished,Bachelors/Family,2000,Penthouse,3,Banjara Hills,3,Carpet Area,West,3,Main Road,Immediately,3,50000.0,1
306,Unfurnished,Bachelors,1000,Apartment,2,Kishan Bagh,2,Carpet Area,East,1,Main Road,Immediately,2,8000.0,0
307,Semi-Furnished,Bachelors/Family,1660,Apartment,3,Manikonda,4,Carpet Area,East,0,Unknown,Immediately,3,23100.0,0
308,Semi-Furnished,Bachelors/Family,1547,Apartment,3,Lingampally-Serilingampally,3,Super Area,North,2,Main Road,Immediately,2,23000.0,1
309,Semi-Furnished,Family,1100,Apartment,2,Khaja Guda,3,Carpet Area,North-West,2,Main Road,Immediately,2,15000.0,1
310,Unfurnished,Bachelors,1098,Apartment,2,Puppalaguda,4,Carpet Area,North-East,3,Main Road,Immediately,3,14500.0,0
311,Unfurnished,Bachelors,1300,House,2,Gudimalkapur,1,Carpet Area,East,2,Main Road,Immediately,2,13000.0,0
312,Semi-Furnished,Family,1900,Apartment,2,Old Alwal,2,Carpet Area,East,3,Main Road,Immediately,2,23000.0,1
313,Semi-Furnished,Family,1300,Apartment,3,Sainikpuri,5,Carpet Area,East,0,Unknown,Immediately,3,17500.0,1
314,Semi-Furnished,Bachelors/Family,2100,Apartment,3,Banjara Hills,1,Carpet Area,Unknown,2,Main Road,Immediately,3,70000.0,2
315,Unfurnished,Bachelors,1765,Apartment,3,Manikonda,1,Carpet Area,East,2,Garden/Park,Immediately,3,25000.0,0
316,Semi-Furnished,Bachelors,1575,Apartment,3,Rail Vihar,6,Carpet Area,East,1,Garden/Park,Immediately,3,20000.0,0
317,Semi-Furnished,Bachelors/Family,2600,Villa,5,Kompally,0,Carpet Area,North-East,1,Main Road,Immediately,4,40000.0,1
318,Semi-Furnished,Bachelors,1275,Apartment,3,Manikonda,3,Carpet Area,North-West,2,Main Road,Immediately,2,21000.0,1
319,Semi-Furnished,Bachelors,1700,Apartment,3,Jubilee Hills,2,Carpet Area,East,2,Garden/Park,Immediately,3,40000.0,0
320,Semi-Furnished,Bachelors/Family,4200,Villa,4,Kokapet,0,Carpet Area,North,2,Garden/Park,Immediately,4,75000.0,3
321,Unfurnished,Bachelors,1050,Apartment,2,Bachupally,4,Carpet Area,East,2,Main Road,Immediately,2,15000.0,0
322,Semi-Furnished,Bachelors/Family,2757,Apartment,3,Kavuri Hills,4,Carpet Area,North-East,4,Main Road,Immediately,3,55000.0,2
323,Semi-Furnished,Bachelors/Family,1800,Apartment,3,Kokapet,5,Carpet Area,East,2,Main Road,Immediately,3,40000.0,1
324,Semi-Furnished,Bachelors/Family,1330,House,2,OU Colony-Shaikpet,0,Carpet Area,East,0,Garden/Park,Immediately,2,15000.0,1
325,Unfurnished,Bachelors/Family,900,Apartment,2,West Venkatapuram,2,Carpet Area,Unknown,2,Main Road,Immediately,2,11500.0,1
326,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Gachibowli,3,Carpet Area,East,1,Unknown,Immediately,2,24064.0,0
327,Semi-Furnished,Bachelors/Family,1758,Apartment,3,Gachibowli,5,Carpet Area,East,1,Garden/Park,Immediately,3,30000.0,2
328,Unfurnished,Bachelors/Family,1080,Apartment,2,Chanda Nagar,2,Super Area,West,2,Garden/Park,Immediately,2,15000.0,0
329,Semi-Furnished,Bachelors/Family,900,Apartment,2,Kompally,1,Carpet Area,West,1,Main Road,Immediately,2,17000.0,1
330,Unfurnished,Bachelors/Family,1430,Apartment,3,Tellapur,3,Carpet Area,East,2,Unknown,Immediately,3,15000.0,0
331,Semi-Furnished,Bachelors/Family,1500,Apartment,3,Shamshiguda,3,Carpet Area,North,2,Main Road,Immediately,3,18000.0,1
332,Semi-Furnished,Bachelors/Family,1630,Apartment,3,Alkapuri,5,Super Area,West,3,Main Road,Immediately,3,24000.0,1
333,Unfurnished,Bachelors,600,House,2,Venkateshwara Nagar,1,Carpet Area,North,0,Unknown,Immediately,1,8000.0,1
334,Semi-Furnished,Bachelors,2000,Apartment,3,Yapral,2,Carpet Area,East,4,Garden/Park,Immediately,3,22000.0,0
335,Furnished,Bachelors/Family,1100,Villa,2,Rampally,0,Carpet Area,West,0,Unknown,Immediately,2,15000.0,1
336,Semi-Furnished,Bachelors/Family,1200,Apartment,3,Pocharam,1,Super Area,Unknown,1,Unknown,Immediately,2,14000.0,1
337,Semi-Furnished,Bachelors/Family,1800,Apartment,3,Nanakram Guda,11,Carpet Area,East,2,Unknown,Immediately,3,50000.0,2
338,Unfurnished,Bachelors/Family,1100,House,2,Parvathapur,1,Carpet Area,West,0,Garden/Park,Immediately,2,10000.0,0
339,Furnished,Bachelors/Family,1000,House,2,Kalyan Nagar-Erragadda,1,Carpet Area,South,2,Main Road,Immediately,3,25000.0,1
340,Semi-Furnished,Bachelors/Family,1858,Apartment,3,Gachibowli,4,Super Area,Unknown,0,Unknown,Immediately,3,35000.0,0
341,Semi-Furnished,Bachelors/Family,1550,House,4,Aminpur,0,Super Area,Unknown,0,Unknown,Immediately,3,15000.0,0
342,Semi-Furnished,Bachelors,1200,Apartment,3,Gachibowli,25,Carpet Area,West,2,Garden/Park,Immediately,2,40000.0,0
343,Semi-Furnished,Bachelors/Family,900,Apartment,2,Shirdi Sai Nagar,5,Carpet Area,West,2,Main Road,Immediately,2,15000.0,0
344,Unfurnished,Bachelors,1900,Apartment,3,Tellapur,6,Carpet Area,West,1,Garden/Park,Immediately,4,23000.0,0
345,Semi-Furnished,Bachelors,1300,Apartment,3,Miyapur,4,Carpet Area,West,2,Main Road,Immediately,2,18000.0,0
346,Unfurnished,Bachelors/Family,1000,Apartment,2,Masab Tank,2,Super Area,Unknown,2,Unknown,Immediately,2,14000.0,0
347,Unfurnished,Bachelors,1200,House,2,Kishan Guda,1,Carpet Area,East,2,Main Road,Immediately,2,11000.0,0
348,Semi-Furnished,Family,1400,Apartment,3,Dr A.S. Rao Nagar,5,Carpet Area,Unknown,2,Main Road,Immediately,3,12500.0,1
349,Semi-Furnished,Bachelors,900,Apartment,2,Addagutta Society,1,Carpet Area,Unknown,1,Unknown,Immediately,2,15000.0,0
350,Semi-Furnished,Bachelors/Family,3000,Villa,3,Kompally,0,Super Area,Unknown,0,Main Road,Immediately,3,26000.0,1
351,Unfurnished,Bachelors/Family,950,Apartment,2,Boduppal,3,Carpet Area,East,1,Unknown,Immediately,2,8500.0,0
352,Unfurnished,Bachelors,1450,Villa,2,Beeramguda,0,Carpet Area,East,0,Main Road,From Mar '22,2,14000.0,0
353,Semi-Furnished,Family,800,Apartment,2,NRSA colony,1,Carpet Area,North,1,Main Road,Immediately,2,12000.0,0
354,Semi-Furnished,Family,1430,Apartment,3,Gangaram,2,Carpet Area,East,1,Garden/Park,Immediately,3,22000.0,1
355,Semi-Furnished,Bachelors/Family,1685,Apartment,3,Gachibowli,5,Super Area,West,2,Garden/Park,Immediately,3,35000.0,2
356,Unfurnished,Bachelors/Family,900,House,2,Hari Hara Puram,0,Super Area,East,0,Unknown,Immediately,2,9500.0,0
357,Unfurnished,Bachelors,911,Apartment,2,Saidabad Colony,0,Carpet Area,East,2,Unknown,Immediately,2,15000.0,0
358,Unfurnished,Bachelors,1160,Apartment,2,Miyapur,9,Super Area,West,2,Garden/Park,Immediately,2,20000.0,0
359,Furnished,Bachelors,970,Apartment,2,Quthbullapur,1,Super Area,North,1,Unknown,Immediately,2,13500.0,0
360,Semi-Furnished,Bachelors,2200,Apartment,3,Whitefields,4,Super Area,Unknown,2,Main Road,Immediately,3,29000.0,0
361,Semi-Furnished,Bachelors/Family,1500,Apartment,3,Kukatpally,1,Super Area,East,3,Unknown,Immediately,3,20000.0,0
362,Unfurnished,Bachelors,1500,Apartment,3,Hafeezpet,7,Carpet Area,North-East,2,Garden/Park,Immediately,2,28000.0,0
363,Semi-Furnished,Bachelors,1260,Apartment,2,Begumpet,1,Carpet Area,East,2,Unknown,Immediately,2,25000.0,1
364,Unfurnished,Bachelors,1740,Apartment,3,Gachibowli,6,Super Area,East,2,Garden/Park,Immediately,3,36500.0,0
365,Unfurnished,Bachelors/Family,3500,Villa,3,Whitefields,0,Super Area,Unknown,0,Garden/Park,Immediately,3,70000.0,0
366,Unfurnished,Family,450,Apartment,1,Chintal,2,Carpet Area,East,0,Main Road,Immediately,1,6500.0,0
367,Semi-Furnished,Family,1015,Apartment,2,Bachupally,2,Carpet Area,West,2,Garden/Park,Immediately,1,14000.0,1
368,Unfurnished,Family,900,Apartment,1,Aminpur,1,Carpet Area,East,0,Main Road,Immediately,1,8500.0,0
369,Unfurnished,Bachelors/Family,900,Apartment,2,Puppalaguda,4,Carpet Area,North-West,1,Main Road,Immediately,2,11000.0,1
370,Unfurnished,Bachelors,500,House,1,Saroor Nagar West,2,Carpet Area,East,1,Unknown,Immediately,1,6000.0,0
371,Semi-Furnished,Bachelors/Family,4800,House,5,Jubilee Hills,0,Carpet Area,North,4,Main Road,Immediately,5,300000.0,0
372,Semi-Furnished,Bachelors,950,Apartment,2,Ameerpet,3,Carpet Area,North-East,2,Main Road,Immediately,2,18000.0,0
373,Unfurnished,Bachelors/Family,1300,House,2,Alkapur Township,0,Carpet Area,South-East,1,Main Road,Immediately,2,13000.0,0
374,Unfurnished,Bachelors,1150,House,2,Attapur,3,Carpet Area,East,1,Unknown,Immediately,2,13000.0,0
375,Semi-Furnished,Family,1520,Apartment,3,Khaja Guda,7,Carpet Area,East,3,Main Road,Immediately,3,28000.0,2
376,Semi-Furnished,Bachelors/Family,1000,House,2,Moosa Ram Bagh,1,Carpet Area,North,2,Unknown,Immediately,2,13000.0,0
377,Semi-Furnished,Family,1574,Apartment,3,RTC Colony-Chandanagar,2,Carpet Area,North,1,Main Road,Immediately,2,20000.0,1
378,Semi-Furnished,Bachelors,1175,Apartment,2,Kukatpally Housing Board Colony,5,Carpet Area,North,1,Main Road,Immediately,1,19000.0,0
379,Semi-Furnished,Bachelors,900,House,2,Banjara Hills,0,Carpet Area,Unknown,0,Main Road,Immediately,2,18000.0,0
380,Furnished,Bachelors/Family,930,Apartment,2,Brindavan Colony-Toli Chowki,1,Carpet Area,East,1,Unknown,Immediately,2,18000.0,0
381,Semi-Furnished,Bachelors/Family,1000,House,2,Puppalaguda,0,Carpet Area,East,0,Unknown,Immediately,2,14000.0,0
382,Semi-Furnished,Bachelors,1100,House,2,Kukatpally,0,Super Area,East,1,Garden/Park,Immediately,3,18500.0,1
383,Semi-Furnished,Family,1650,Apartment,3,Financial District,2,Carpet Area,West,3,Main Road,Immediately,3,65000.0,2
384,Semi-Furnished,Bachelors/Family,3000,Villa,3,Hydershakote,0,Carpet Area,East,2,Unknown,Immediately,4,50000.0,0
385,Semi-Furnished,Bachelors/Family,1120,House,2,Vidya Nagar,3,Carpet Area,East,1,Unknown,From Mar '22,2,24500.0,0
386,Semi-Furnished,Family,2000,Apartment,3,Gachibowli,8,Carpet Area,West,2,Garden/Park,Immediately,3,45000.0,2
387,Unfurnished,Bachelors/Family,1400,Apartment,3,Nallagandla,2,Carpet Area,West,2,Garden/Park,From Mar '22,3,22000.0,0
388,Semi-Furnished,Bachelors/Family,1050,Apartment,2,Mehdipatnam,1,Carpet Area,North-East,1,Main Road,Immediately,2,15000.0,0
389,Unfurnished,Bachelors,900,House,2,TNGOS Colony Phase1,2,Carpet Area,East,0,Unknown,Immediately,2,15000.0,0
390,Semi-Furnished,Bachelors/Family,870,Apartment,3,Gachibowli,3,Carpet Area,North-East,1,Main Road,Immediately,2,33000.0,1
391,Semi-Furnished,Bachelors/Family,930,Apartment,2,Kukatpally,3,Carpet Area,East,2,Garden/Park,From Mar '22,2,17000.0,1
392,Unfurnished,Bachelors,1875,Apartment,3,Shaikpet,12,Super Area,East,1,Unknown,Immediately,2,42000.0,2
393,Unfurnished,Bachelors/Family,1305,Apartment,2,Nallagandla,11,Super Area,Unknown,1,Garden/Park,Immediately,2,27000.0,0
394,Semi-Furnished,Bachelors,1672,Apartment,3,Kukatpally,24,Super Area,East,3,Garden/Park,Immediately,3,43000.0,0
395,Semi-Furnished,Bachelors,1150,Apartment,2,Narayanguda,3,Carpet Area,East,1,Main Road,Immediately,2,20000.0,1
396,Unfurnished,Bachelors/Family,1850,Apartment,3,Somajiguda,3,Carpet Area,South,3,Unknown,Immediately,3,31000.0,0
397,Semi-Furnished,Bachelors/Family,1500,Apartment,3,Hitech City,2,Carpet Area,East,2,Unknown,Immediately,2,24000.0,1
398,Unfurnished,Bachelors,3722,Apartment,4,Somajiguda,5,Super Area,East,1,Garden/Park,Immediately,4,58000.0,0
399,Semi-Furnished,Bachelors/Family,1400,House,3,Vidyuth Nagar,0,Super Area,Unknown,0,Unknown,Immediately,3,12500.0,0
400,Semi-Furnished,Family,1250,House,2,Madhapur,1,Carpet Area,North-East,4,Main Road,Immediately,2,15000.0,1
401,Semi-Furnished,Family,3400,Apartment,4,Banjara Hills,3,Carpet Area,East,1,Main Road,Immediately,4,75000.0,2
402,Unfurnished,Family,1000,House,2,Nalanda Nagar,0,Carpet Area,North-East,0,Garden/Park,Immediately,2,15000.0,1
403,Furnished,Family,1972,Apartment,3,Kokapet,2,Carpet Area,East,3,Main Road,Immediately,3,42000.0,2
404,Semi-Furnished,Family,1781,Apartment,3,Khaja Guda,4,Carpet Area,Unknown,3,Main Road,Immediately,3,32000.0,1
405,Semi-Furnished,Bachelors,1940,Apartment,3,Narsingi,1,Super Area,East,3,Garden/Park,Immediately,3,32000.0,0
406,Semi-Furnished,Bachelors/Family,3000,Apartment,3,Banjara Hills,2,Super Area,East,2,Main Road,Immediately,4,47000.0,0
407,Semi-Furnished,Bachelors/Family,1410,Apartment,3,Appa junction,13,Super Area,Unknown,1,Unknown,Immediately,2,20000.0,0
408,Unfurnished,Bachelors/Family,1400,House,2,Bandlaguda Jagir,2,Super Area,East,3,Garden/Park,Immediately,3,12000.0,0
409,Unfurnished,Bachelors/Family,1690,Apartment,3,Manikonda,3,Carpet Area,East,2,Unknown,Immediately,3,30000.0,0
410,Semi-Furnished,Family,1342,Apartment,2,Gachibowli,0,Super Area,South,0,Garden/Park,Immediately,2,30000.0,1
411,Unfurnished,Bachelors/Family,550,Apartment,1,Miyapur,2,Carpet Area,East,0,Main Road,Immediately,1,8500.0,0
412,Semi-Furnished,Bachelors,2500,Villa,4,Khaja Guda,0,Carpet Area,West,2,Pool,Immediately,4,75000.0,2
413,Unfurnished,Bachelors,1000,House,2,Venkateshwara Colony Saroor Nagar,0,Carpet Area,East,2,Unknown,Immediately,2,12000.0,0
414,Semi-Furnished,Bachelors,2300,Apartment,3,APHB Colony Gachibowli,1,Carpet Area,East,1,Garden/Park,Immediately,3,26000.0,0
415,Furnished,Bachelors,2525,Apartment,3,Serilingampally,9,Carpet Area,East,2,Garden/Park,Immediately,4,75000.0,2
416,Unfurnished,Bachelors,1800,Villa,3,Beeramguda,0,Super Area,West,0,Garden/Park,Immediately,3,18000.0,0
417,Semi-Furnished,Bachelors,1600,Apartment,3,Gopanapalli,7,Carpet Area,East,1,Garden/Park,Immediately,3,32000.0,2
418,Semi-Furnished,Family,1025,Apartment,2,Safilguda,2,Carpet Area,West,1,Unknown,Immediately,2,10000.0,0
419,Unfurnished,Bachelors,1050,Apartment,2,Kothapet,2,Carpet Area,West,2,Main Road,Immediately,2,14000.0,0
420,Semi-Furnished,Bachelors/Family,1225,Apartment,2,Alkapur Township,4,Super Area,Unknown,0,Unknown,Immediately,2,24000.0,0
421,Unfurnished,Family,300,Apartment,3,Miyapur,2,Super Area,Unknown,0,Unknown,Immediately,3,21000.0,0
422,Semi-Furnished,Family,1300,Apartment,2,Upperpally,2,Carpet Area,North,2,Unknown,Immediately,2,11500.0,1
423,Semi-Furnished,Bachelors/Family,1800,House,2,Saidabad,1,Carpet Area,Unknown,3,Unknown,Immediately,2,16000.0,0
424,Unfurnished,Bachelors,685,Apartment,2,Chandanagar,0,Carpet Area,South,1,Main Road,Immediately,1,15000.0,0
425,Unfurnished,Bachelors,1200,House,2,Hyderabad,1,Carpet Area,East,1,Main Road,Immediately,3,8500.0,0
426,Unfurnished,Bachelors,1165,Apartment,2,South Kamala Nagar,3,Super Area,North-East,0,Main Road,Immediately,2,13000.0,1
427,Semi-Furnished,Family,1050,Apartment,2,Madhura Hills Shaikpet,3,Carpet Area,North,2,Main Road,Immediately,2,20000.0,2
428,Unfurnished,Bachelors/Family,888,Apartment,2,DLF Cyber City,3,Carpet Area,North-East,1,Unknown,Immediately,2,25000.0,0
429,Semi-Furnished,Family,4300,Villa,4,Mokila,0,Carpet Area,Unknown,2,Unknown,Immediately,4,40000.0,0
430,Furnished,Bachelors/Family,1230,House,2,Alwal,1,Super Area,North-West,2,Unknown,Immediately,2,15000.0,1
431,Unfurnished,Bachelors/Family,200,Penthouse,1,Kompally,4,Super Area,Unknown,0,Unknown,Immediately,1,5500.0,0
432,Semi-Furnished,Family,1265,Apartment,3,Dattatreya Colony,3,Carpet Area,East,2,Unknown,Immediately,2,14000.0,0
433,Unfurnished,Bachelors/Family,2664,House,3,Aminpur,0,Carpet Area,Unknown,0,Unknown,Immediately,3,16000.0,0
434,Semi-Furnished,Bachelors/Family,2500,Villa,4,Kokapet,0,Super Area,Unknown,0,Unknown,Immediately,4,55000.0,0
435,Semi-Furnished,Family,0,Apartment,3,Moti Nagar,1,Super Area,East,2,Unknown,Immediately,3,22500.0,1
436,Semi-Furnished,Bachelors/Family,3800,Villa,3,Gopanapalli,0,Carpet Area,Unknown,3,Unknown,Immediately,4,60000.0,0
437,Semi-Furnished,Bachelors,1870,Apartment,3,Siri construction,3,Super Area,East,1,Unknown,Immediately,3,20000.0,0
438,Semi-Furnished,Bachelors,900,Apartment,1,K P H B Phase 3,0,Carpet Area,Unknown,0,Unknown,Immediately,1,17000.0,1
439,Semi-Furnished,Bachelors/Family,2300,Apartment,3,Gachibowli,7,Super Area,East,2,Garden/Park,Immediately,3,35000.0,0
440,Unfurnished,Bachelors/Family,1100,Apartment,2,Kismatpur,0,Carpet Area,West,2,Garden/Park,Immediately,2,9500.0,0
441,Semi-Furnished,Bachelors/Family,1350,Apartment,2,Ghatkesar,4,Carpet Area,West,1,Unknown,Immediately,3,14000.0,2
442,Semi-Furnished,Family,1500,Apartment,3,Chanda Nagar,3,Carpet Area,East,2,Main Road,Immediately,3,20000.0,2
443,Unfurnished,Bachelors/Family,1400,Apartment,3,KPHB Road,5,Carpet Area,East,1,Garden/Park,Immediately,3,20000.0,0
444,Semi-Furnished,Bachelors/Family,1400,Apartment,3,Lingampally-Serilingampally,2,Carpet Area,East,2,Unknown,Immediately,2,20000.0,0
445,Semi-Furnished,Bachelors/Family,1900,Apartment,3,Financial District,8,Super Area,East,2,Garden/Park,Immediately,3,41000.0,2
446,Semi-Furnished,Bachelors,1655,Apartment,3,Narsingi,5,Carpet Area,West,1,Garden/Park,Immediately,3,28000.0,0
447,Furnished,Bachelors/Family,2050,Apartment,3,Tellapur,2,Carpet Area,West,1,Garden/Park,Immediately,3,40000.0,2
448,Semi-Furnished,Family,1400,Apartment,3,Somajiguda,3,Super Area,East,0,Unknown,Immediately,2,26000.0,0
449,Furnished,Bachelors/Family,2200,Apartment,3,Attapur,3,Super Area,North,2,Main Road,Immediately,3,30000.0,1
450,Furnished,Family,1602,Apartment,3,Toli Chowki,3,Super Area,West,0,Main Road,Immediately,3,27000.0,1
