,Furnished_Type,Tenants_Preferred,Sqft,Property_type,BHK,Location,Floor,Area_type,Facing,Balcony,Overlooking,Availability,Bathroom,Monthly_Charges,car_parking
766,Semi-Furnished,Bachelors/Family,1400,Apartment,3,Gachibowli Phase 3,3,Carpet Area,East,2,Garden/Park,Immediately,3,22000.0,0
767,Semi-Furnished,Bachelors/Family,1450,Apartment,3,Banjara Hills,2,Carpet Area,West,3,Main Road,Immediately,3,35000.0,0
768,Semi-Furnished,Bachelors,1000,Apartment,2,Nanakaramguda,2,Carpet Area,East,2,Main Road,Immediately,2,23500.0,1
769,Unfurnished,Bachelors/Family,1458,Apartment,3,Amberpet,2,Carpet Area,South,1,Unknown,Immediately,3,25000.0,0
770,Unfurnished,Bachelors/Family,700,Apartment,1,Kondapur,1,Carpet Area,North-East,1,Main Road,Immediately,1,10000.0,0
771,Furnished,Bachelors/Family,1850,Apartment,3,KPHB Phase 3,5,Carpet Area,East,2,Main Road,Immediately,3,38000.0,2
772,Unfurnished,Family,1350,House,2,Moosapet,0,Carpet Area,East,0,Main Road,Immediately,1,14000.0,0
773,Semi-Furnished,Bachelors/Family,975,Apartment,3,Attapur,2,Carpet Area,East,0,Garden/Park,Immediately,2,10500.0,1
774,Semi-Furnished,Bachelors/Family,3650,Villa,3,Kompally,0,Carpet Area,North-West,1,Garden/Park,Immediately,3,55000.0,1
775,Semi-Furnished,Bachelors/Family,1100,Apartment,2,Whitefields,5,Carpet Area,Unknown,2,Main Road,Immediately,2,30000.0,1
776,Unfurnished,Bachelors,1100,Apartment,2,Madinaguda,2,Carpet Area,North,1,Main Road,Immediately,2,14500.0,0
777,Semi-Furnished,Bachelors/Family,900,Apartment,2,Himayath Nagar,2,Carpet Area,South,0,Unknown,Immediately,2,19000.0,1
778,Unfurnished,Bachelors/Family,900,House,1,Gachibowli,0,Carpet Area,East,0,Unknown,Immediately,1,15000.0,0
779,Unfurnished,Bachelors,1345,Apartment,3,Appa junction,6,Carpet Area,East,2,Garden/Park,Immediately,3,25000.0,0
780,Unfurnished,Family,950,Apartment,2,Madinaguda,1,Carpet Area,East,2,Main Road,Immediately,2,12000.0,0
781,Unfurnished,Bachelors,1900,Apartment,3,Kondapur,6,Carpet Area,East,1,Garden/Park,Immediately,3,35000.0,0
782,Semi-Furnished,Bachelors,1100,Apartment,2,Gachibowli,3,Carpet Area,East,2,Main Road,Immediately,2,21000.0,0
783,Unfurnished,Bachelors/Family,1700,House,2,Gachibowli,2,Carpet Area,East,1,Unknown,Immediately,2,18000.0,0
784,Furnished,Bachelors/Family,1865,Apartment,3,Kokapet,3,Carpet Area,Unknown,2,Unknown,Immediately,3,38000.0,0
785,Semi-Furnished,Bachelors/Family,1400,Apartment,3,Manikonda,31,Carpet Area,West,2,Unknown,Immediately,4,40000.0,0
