,Title,Amenities,Amount
57,"3 BHK Apartment for Rent in Narsingi, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1435 sqftFloor2 out of 5facingNorthoverlookingMain RoadOwnershipFreeholdBathroom3Balcony2,"₹21,000"
58,"3 BHK Apartment for Rent in Miyapur, NH 9",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1625 sqftFloor4 out of 10facingEastoverlookingMain RoadBathroom2Balcony2,"₹24,000"
59,1 BHK Builder Floor for Rent in Asif Nagar,"FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking1 Covered, 1 OpenAvailabilityImmediatelyCarpet Area500 sqftFloor3 out of 5facingEastBathroom1Balcony1","₹8,500"
60,"3 BHK Apartment for Rent in Manikonda, Outer Ring Road","FurnishingUnfurnishedTenant PreferredFamilyAvailabilityImmediatelyCarpet Area1150 sqftFloor3 out of 5facingSouth - EastoverlookingGarden/Park, Main RoadBathroom3Balcony1","₹18,000"
61,"4 BHK Apartment for Rent in Kokapet, Outer Ring Road",FurnishingFurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area3045 sqftFloor1 out of 14facingEastBathroom4,"₹70,000"
62,"3 BHK Apartment for Rent in Kokapet, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1520 sqftFloor1 out of 6facingEastoverlookingGarden/ParkBathroom3Balcony2,"₹27,000"
63,2 BHK House for Rent in Ramchandrapuram Mandal,FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1500 sqftFloor2 out of 2facingEastoverlookingMain RoadBathroom2Balcony2,"₹13,000"
64,"3 BHK Apartment for Rent in Financial District, Nanakram Guda","FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area1645 sqftFloor5 out of 14facingEastoverlookingGarden/Park, Main RoadBathroom3Balcony1","₹36,000"
65,4 BHK Apartment for Rent in Kondapur,"FurnishingFurnishedTenant PreferredBachelorsCar Parking2 CoveredAvailabilityImmediatelySuper Area3600 sqftFloor9 out of 18facingWestoverlookingGarden/Park, Pool, Main RoadOwnershipFreeholdBathroom4Balcony2","₹65,000"
66,3 BHK Apartment for Rent in Gachibowli,"FurnishingFurnishedTenant PreferredFamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area3395 sqftFloor5 out of 14facingWestoverlookingGarden/Park, Main RoadBathroom4Balcony3","₹80,000"
67,4 BHK Apartment for Rent in Gachibowli,"FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelySuper Area4200 sqftFloor10 out of 22facingEastoverlookingGarden/Park, Pool, Main RoadOwnershipFreeholdBathroom4Balcony2",₹1.3 Lac
68,2 BHK Apartment for Rent in Nanakram Guda,"FurnishingUnfurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1275 sqftFloor17 out of 24facingEastoverlookingGarden/Park, Pool, Main RoadOwnershipCo-operative SocietyBathroom2Balcony1","₹30,000"
69,3 BHK Apartment for Rent in Hitech City,FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1500 sqftFloor3 out of 5facingEastoverlookingGarden/ParkBathroom3Balcony1,"₹35,000"
70,3 BHK Apartment for Rent in Madhapur,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelySuper Area2250 sqftFloor3 out of 9facingWestoverlookingPoolOwnershipFreeholdBathroom3Balcony2,"₹40,000"
71,3 BHK Apartment for Rent in Hitech City,FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking2 CoveredAvailabilityImmediatelySuper Area2595 sqftFloor20 out of 36facingWestoverlookingGarden/ParkBathroom3Balcony1,₹1 Lac
72,2 BHK Apartment for Rent in Gachibowli,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area900 sqftFloor6 out of 30facingSouthoverlookingGarden/ParkBathroom2Balcony1,"₹35,000"
73, Studio Apartment for Rent in Kondapur,"FurnishingFurnishedTenant PreferredBachelors/FamilyCar Parking8 CoveredAvailabilityImmediatelySuper Area11,000 sqftFloor4 out of 5facingEastoverlookingMain RoadBathroom> 10Balcony> 10",₹5.4 Lac
74,"3 BHK Apartment for Rent in Chandanagar, NH 9","FurnishingSemi-FurnishedTenant PreferredBachelorsCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1300 sqftFloor4 out of 14facingEastoverlookingGarden/Park, Main RoadOwnershipFreeholdBathroom3Balcony3","₹25,000"
75,"2 BHK House for Rent in Vanasthalipuram, NH 9",FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area800 sqftFloor1 out of 1Bathroom2Balcony1,"₹8,000"
76,2 BHK House for Rent in Uppal Metro,FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area2000 sqftFloorGround out of 1Bathroom2,"₹10,000"
77,"3 BHK Apartment for Rent in Anandbagh, Secunderabad, Moula Ali Road",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityFrom Mar '22Carpet Area1200 sqftFloor5 out of 5Bathroom2Balcony2,"₹16,000"
